day,daily_pnl,cum_pnl,pc_budget,pnl_Fintech Token,pnl_Thrifted Jeans,pnl_UQ Dollar,pnl_Sausage Sizzle,pnl_Bread,pnl_MenuDash,pnl_Sausage,pnl_Liferaft Ticket,pnl_Boat Party Ticket,pos_Fintech Token,pos_Thrifted Jeans,pos_UQ Dollar,pos_Sausage Sizzle,pos_Bread,pos_MenuDash,pos_Sausage,pos_Liferaft Ticket,pos_Boat Party Ticket
0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,100,0
1,0.0,0.0,15.83,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0,0,0,0,0,0,0,100,0
2,0.0,0.0,15.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-100,0
3,0.0,0.0,24.93,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0,0,100,0,0,0,0,-100,0
4,221.0,221.0,24.13,0.0,-0.0,221.0,0.0,-0.0,0.0,0.0,0.0,0.0,0,0,100,0,0,0,0,-100,0
5,292.5,513.5,23.17,-0.0,0.0,292.5,0.0,0.0,-0.0,0.0,0.0,0.0,0,60,0,0,0,0,0,-100,-100
6,1896.0,2409.5,24.7,-0.0,1536.0,-0.0,0.0,-0.0,0.0,0.0,0.0,360.0,0,60,0,0,0,0,0,-100,100
7,1417.6,3827.1,37.2,0.0,1377.6,0.0,-0.0,0.0,-0.0,-0.0,0.0,40.0,0,60,-100,0,0,0,0,-100,100
8,1993.7,5820.8,25.68,0.0,1291.2,552.5,0.0,-0.0,-0.0,0.0,0.0,150.0,0,60,0,0,0,0,0,-100,100
9,656.0,6476.8,35.84,0.0,216.0,0.0,0.0,-0.0,0.0,-0.0,0.0,440.0,0,60,-100,0,0,0,0,-100,-100
10,1628.9,8105.700000000001,26.64,0.0,1694.4,344.5,-0.0,-0.0,0.0,0.0,0.0,-410.0,0,60,0,0,0,0,0,-100,-100
11,-3536.4,4569.300000000001,27.09,0.0,-4406.4,-0.0,-0.0,0.0,0.0,0.0,0.0,870.0,0,60,0,0,0,0,0,100,100
12,2187.2,6756.500000000001,53.93,-0.0,2467.2,0.0,0.0,-0.0,-0.0,0.0,0.0,-280.0,100,60,0,0,-100,0,100,100,100
13,506.4,7262.900000000001,55.17,964.0,-1497.6,0.0,-0.0,540.0,0.0,50.0,0.0,450.0,-100,60,0,0,-100,0,100,100,-100
14,-3327.0,3935.9000000000005,57.48,-475.0,1128.0,-0.0,0.0,330.0,-0.0,150.0,0.0,-4460.0,-100,60,0,0,-100,0,100,100,-100
15,1053.4,4989.300000000001,76.92,-168.0,1766.4,0.0,0.0,-225.0,0.0,150.0,0.0,-470.0,-100,60,0,100,-100,0,100,100,-100
16,2479.0,7468.300000000001,86.82,783.0,456.0,-0.0,330.0,330.0,0.0,200.0,0.0,380.0,100,60,100,100,-100,0,100,100,100
17,-379.2,7089.100000000001,86.05,166.0,796.8,-572.0,150.0,-390.0,-0.0,100.0,0.0,-630.0,100,60,100,100,-100,0,100,100,100
18,3363.7,10452.800000000001,74.97,1158.0,835.2,695.5,450.0,-95.0,0.0,-250.0,0.0,570.0,-100,60,0,-100,-100,0,100,100,100
19,3051.8,13504.600000000002,85.08,1042.0,1684.8,-0.0,180.0,-75.0,0.0,0.0,0.0,220.0,100,60,100,100,-100,0,100,100,-100
20,-1838.2,11666.400000000001,75.1,356.0,-2899.2,65.0,150.0,830.0,-0.0,-50.0,0.0,-290.0,-100,60,0,-100,-100,0,100,100,-100
21,1319.0,12985.400000000001,85.32,628.0,1296.0,0.0,540.0,5.0,0.0,-50.0,0.0,-1100.0,100,60,-100,100,-100,0,-100,100,-100
22,1234.7,14220.100000000002,85.0,1544.0,547.2,253.5,60.0,100.0,0.0,-300.0,0.0,-970.0,-100,60,100,100,-100,0,100,100,-100
23,3014.7,17234.800000000003,75.59,917.0,1051.2,71.5,390.0,-295.0,0.0,250.0,0.0,630.0,-100,60,0,100,-100,0,100,100,100
24,-560.2,16674.600000000002,85.95,-668.0,-427.2,0.0,480.0,-635.0,-0.0,450.0,0.0,240.0,-100,60,-100,100,100,0,100,-100,100
25,-2084.4,14590.200000000003,86.67,518.0,-2918.4,286.0,870.0,-50.0,-0.0,-100.0,0.0,-690.0,-100,60,100,-100,100,0,100,-100,100
26,2109.5,16699.700000000004,77.54,-169.0,-168.0,136.5,120.0,480.0,-0.0,50.0,0.0,1660.0,-100,60,0,100,100,0,100,100,-100
27,2580.0,19279.700000000004,89.64,738.0,312.0,0.0,330.0,390.0,0.0,-100.0,0.0,910.0,100,60,-100,100,100,0,100,100,100
28,1543.8,20823.500000000004,88.85,-172.0,28.8,637.0,270.0,340.0,0.0,200.0,0.0,240.0,100,60,100,100,100,0,100,100,100
29,-2075.4,18748.100000000002,76.85,822.0,-2990.4,273.0,420.0,70.0,0.0,50.0,0.0,-720.0,-100,60,0,100,100,0,100,100,100
30,2020.6,20768.7,86.71,1299.0,201.6,-0.0,180.0,-480.0,0.0,150.0,0.0,670.0,100,60,100,100,100,0,100,100,-100
31,-1210.3,19558.4,74.6,-791.0,-2524.8,305.5,120.0,620.0,-0.0,350.0,0.0,710.0,100,60,0,100,100,0,100,100,100
32,5844.2,25402.600000000002,87.63,2123.0,1891.2,-0.0,840.0,-270.0,0.0,250.0,0.0,1010.0,-100,60,100,100,100,0,100,100,-100
33,2597.3,27999.9,86.97,286.0,700.8,500.5,180.0,350.0,-0.0,100.0,0.0,480.0,-100,60,100,100,100,0,100,100,100
34,1854.4,29854.300000000003,86.26,560.0,302.4,52.0,390.0,460.0,0.0,250.0,0.0,-160.0,100,60,100,100,100,0,100,100,100
35,3960.7,33815.0,86.09,1334.0,235.2,-318.5,630.0,-140.0,0.0,150.0,0.0,2070.0,-100,60,100,100,100,0,100,-100,-100
36,840.9,34655.9,85.11,832.0,-537.6,-253.5,180.0,540.0,0.0,50.0,0.0,30.0,-100,60,100,100,100,0,100,-100,-100
37,-1708.5,32947.4,86.29,-332.0,-2280.0,58.5,420.0,645.0,0.0,-150.0,0.0,-70.0,-100,60,100,100,100,0,100,-100,100
38,1484.7,34432.1,85.55,458.0,-676.8,513.5,150.0,550.0,0.0,100.0,0.0,390.0,100,60,100,100,100,0,100,-100,-100
39,-1219.9,33212.2,86.72,-681.0,-902.4,-6.5,450.0,-10.0,0.0,50.0,0.0,-120.0,100,60,100,100,100,0,100,-100,-100
40,2017.5,35229.7,86.4,694.0,960.0,-71.5,240.0,355.0,0.0,350.0,0.0,-510.0,-100,60,100,100,100,0,100,-100,-100
41,3667.2,38896.899999999994,88.24,-352.0,2443.2,26.0,600.0,280.0,0.0,0.0,0.0,670.0,-100,60,100,100,100,0,100,100,100
42,-242.1,38654.799999999996,78.6,285.0,-513.6,136.5,330.0,-400.0,0.0,50.0,0.0,-130.0,-100,60,0,-100,100,0,100,100,100
43,1616.8,40271.6,88.6,923.0,28.8,0.0,150.0,295.0,0.0,0.0,0.0,220.0,100,60,-100,100,100,0,100,100,-100
44,-572.7,39698.9,89.63,-609.0,-211.2,682.5,360.0,-555.0,0.0,-200.0,0.0,-40.0,100,60,100,-100,100,0,100,100,-100
45,4077.5,43776.4,89.31,1937.0,2928.0,-97.5,300.0,-720.0,-0.0,-450.0,0.0,180.0,-100,60,100,-100,-100,0,-100,100,100
46,2109.6,45886.0,88.37,496.0,-662.4,741.0,690.0,185.0,0.0,-0.0,0.0,660.0,-100,60,-100,100,-100,0,-100,100,-100
47,99.7,45985.7,86.77,506.0,-2452.8,786.5,180.0,630.0,0.0,-0.0,0.0,450.0,100,60,100,-100,-100,0,-100,100,100
48,3254.3,49240.0,86.12,706.0,1180.8,162.5,270.0,585.0,0.0,200.0,0.0,150.0,-100,60,100,-100,-100,0,-100,100,100
49,1657.7,50897.7,85.53,-491.0,1123.2,240.5,420.0,-75.0,0.0,250.0,0.0,190.0,-100,60,-100,-100,-100,0,-100,-100,-100
50,362.2,51259.899999999994,97.0,417.0,-388.8,299.0,90.0,-825.0,0.0,50.0,0.0,720.0,-100,60,100,100,0,-100,-66,-100,100
51,1337.8,52597.7,97.0,-78.0,-124.8,-6.5,540.0,-0.0,-0.0,197.1,0.0,810.0,-100,60,100,-100,0,-100,-31,-100,-100
52,2307.69,54905.39,97.0,-77.0,921.6,97.5,360.0,0.0,750.0,15.59,0.0,240.0,-100,60,100,100,0,-100,-2,-100,-100
53,732.31,55637.7,97.0,979.0,-547.2,-227.5,240.0,-0.0,750.0,8.01,0.0,-470.0,100,60,100,-100,0,100,-28,-100,-100
54,957.15,56594.85,97.0,1634.0,-1756.8,104.0,630.0,-0.0,750.0,-14.05,0.0,-390.0,-100,56,100,100,0,100,0,-100,-100
55,6789.28,63384.13,97.0,540.0,668.96,130.0,-30.0,0.0,3750.0,0.32,0.0,1730.0,-100,29,100,-100,0,-100,0,100,100
56,-430.84,62953.29,96.99,-725.0,801.5,162.5,120.0,-0.0,-0.0,0.16,0.0,-790.0,-100,60,0,-100,-32,-100,-100,100,100
57,2271.56,65224.85,96.99,1500.0,24.0,-0.0,540.0,287.56,750.0,-0.0,0.0,-830.0,100,60,0,-100,-24,-100,-100,100,100
58,2174.36,67399.20999999999,96.98,1103.0,-950.4,0.0,330.0,131.76,-0.0,200.0,0.0,1360.0,-100,60,0,-100,-9,-100,-100,100,-100
59,2490.48,69889.68999999999,97.0,-537.0,331.2,-0.0,330.0,16.28,1500.0,-100.0,0.0,950.0,-100,0,100,96,0,100,0,100,100
60,3874.62,73764.30999999998,97.0,1662.0,-0.0,227.5,115.12,-0.0,1500.0,-0.0,0.0,370.0,100,0,-100,-100,0,-100,0,100,-100
61,782.11,74546.41999999998,97.0,-1262.0,0.0,-26.0,59.96,0.0,1500.0,0.15,0.0,510.0,100,23,-100,-100,0,100,0,100,100
62,-519.72,74026.69999999998,97.0,1205.0,-318.42,253.5,360.0,-0.0,-1500.0,0.2,0.0,-520.0,100,42,100,-100,0,100,0,100,100
63,-2881.04,71145.65999999999,97.0,-1164.0,-308.49,-968.5,330.0,-0.0,1500.0,-0.05,0.0,-2270.0,100,60,100,-100,0,100,-11,100,100
64,5763.59,76909.24999999999,96.99,2320.0,1718.4,1131.0,210.0,0.0,0.0,-15.81,0.0,400.0,-100,60,0,100,-76,100,-100,100,100
65,3952.6,80861.84999999999,96.98,88.0,1382.4,-0.0,240.0,72.2,2250.0,50.0,0.0,-130.0,-100,60,0,-100,-79,-100,-100,-100,-100
66,-3039.32,77822.52999999998,97.0,45.0,-945.6,-0.0,30.0,-408.72,-1500.0,-0.0,0.0,-260.0,-100,60,0,100,-86,-100,-100,-100,-100
67,447.92,78270.44999999998,96.99,-231.0,-542.4,0.0,270.0,81.32,1500.0,-200.0,0.0,-430.0,-100,60,0,100,-73,-100,100,-100,-100
68,1371.65,79642.09999999998,96.99,1184.0,787.2,-0.0,120.0,-609.55,-750.0,0.0,0.0,640.0,100,60,0,100,58,-100,100,-100,100
69,-2996.62,76645.47999999998,97.0,-1984.0,-336.0,-0.0,450.0,343.38,-1500.0,-150.0,0.0,180.0,100,22,100,100,0,-100,0,-100,-100
70,-30.0,76615.47999999998,97.0,-2879.0,357.0,962.0,90.0,0.0,-750.0,0.0,0.0,2190.0,100,42,-100,100,0,-100,0,-100,100
71,-762.13,75853.34999999998,97.0,-1128.0,-1600.75,656.5,330.0,0.0,1500.0,0.12,0.0,-520.0,100,34,100,100,0,-100,0,100,100
72,511.33,76364.67999999998,97.0,-1021.0,1010.83,-578.5,270.0,0.0,750.0,-0.0,0.0,80.0,100,15,100,-100,0,-100,0,100,100
73,3772.82,80137.49999999999,97.0,1542.0,-81.18,962.0,270.0,0.0,750.0,0.0,0.0,330.0,100,0,-100,96,0,-100,0,100,-100
74,1448.26,81585.75999999998,97.0,1690.0,0.0,552.5,115.76,0.0,-1500.0,0.0,0.0,590.0,-100,0,100,99,0,-100,0,100,100
75,3334.24,84919.99999999999,96.99,2398.0,0.0,227.5,148.5,-0.0,-0.0,0.24,0.0,560.0,100,60,0,100,38,-100,100,100,-100
76,1083.2,86003.19999999998,96.99,207.0,648.0,-0.0,60.0,-231.8,-0.0,100.0,0.0,300.0,100,60,0,-100,46,-100,100,100,-100
77,-1153.27,84849.92999999998,97.0,352.0,-1761.6,0.0,270.0,176.33,-0.0,200.0,0.0,-390.0,100,60,0,100,56,-100,100,100,-100
