leader,follower,lag,corr,abs
Bread,Sausage Sizzle,1,0.7092405748540559,0.7092405748540559
Sausage,Sausage Sizzle,1,0.6067063057681813,0.6067063057681813
Liferaft Ticket,Bread,5,-0.14751371249438222,0.14751371249438222
Bread,Sausage,5,0.13700153665995898,0.13700153665995898
Sausage Sizzle,Sausage,4,0.13633411288124742,0.13633411288124742
Boat Party Ticket,MenuDash,4,0.13614329044267676,0.13614329044267676
Bread,Boat Party Ticket,2,-0.13344749823843544,0.13344749823843544
Sausage,Boat Party Ticket,2,0.1208866680075849,0.1208866680075849
Thrifted Jeans,Sausage,4,-0.1179467222537837,0.1179467222537837
Sausage,MenuDash,5,-0.11711810787486782,0.11711810787486782
Liferaft Ticket,Boat Party Ticket,4,0.11631161071579253,0.11631161071579253
Boat Party Ticket,Liferaft Ticket,4,-0.11595855518479586,0.11595855518479586
Thrifted Jeans,UQ Dollar,4,-0.11212980005919673,0.11212980005919673
Thrifted Jeans,Boat Party Ticket,5,-0.11111134439979989,0.11111134439979989
Sausage Sizzle,MenuDash,3,0.1074779728144008,0.1074779728144008
UQ Dollar,Liferaft Ticket,3,0.10676505036878908,0.10676505036878908
Sausage Sizzle,Thrifted Jeans,1,0.10636702540186518,0.10636702540186518
Boat Party Ticket,Sausage Sizzle,1,0.1061195865162659,0.1061195865162659
Sausage Sizzle,MenuDash,5,0.10391358402388842,0.10391358402388842
Bread,Thrifted Jeans,1,0.10333061326965373,0.10333061326965373
Bread,Liferaft Ticket,3,0.10220039320267864,0.10220039320267864
Boat Party Ticket,Sausage Sizzle,4,0.10170994013911536,0.10170994013911536
Liferaft Ticket,MenuDash,4,-0.10149407666805145,0.10149407666805145
Liferaft Ticket,Sausage Sizzle,4,-0.09873520606197433,0.09873520606197433
Bread,MenuDash,4,0.09778316792146914,0.09778316792146914
MenuDash,Boat Party Ticket,4,0.09763847450486085,0.09763847450486085
Fintech Token,Liferaft Ticket,2,0.09683582142542559,0.09683582142542559
Fintech Token,UQ Dollar,5,0.09544446585460065,0.09544446585460065
Liferaft Ticket,Sausage,5,0.09397606077399184,0.09397606077399184
Sausage,Fintech Token,1,0.09358832596437251,0.09358832596437251
Liferaft Ticket,Bread,3,-0.09141781163632647,0.09141781163632647
UQ Dollar,Bread,5,-0.09079303808789291,0.09079303808789291
Sausage Sizzle,Liferaft Ticket,3,0.0859743338049234,0.0859743338049234
Fintech Token,MenuDash,4,-0.0858592627312189,0.0858592627312189
Fintech Token,Sausage,1,0.08585257728176524,0.08585257728176524
Sausage,Sausage Sizzle,3,0.08549425467913674,0.08549425467913674
Bread,Sausage Sizzle,4,0.0844287243011562,0.0844287243011562
Sausage,Fintech Token,2,-0.08409243682504072,0.08409243682504072
Liferaft Ticket,Boat Party Ticket,5,-0.0817134715958234,0.0817134715958234
Boat Party Ticket,Bread,1,-0.08065736453183407,0.08065736453183407
Thrifted Jeans,MenuDash,1,0.08063197780426318,0.08063197780426318
UQ Dollar,Sausage,3,-0.08043882538643306,0.08043882538643306
Liferaft Ticket,Sausage Sizzle,5,0.08043195451801997,0.08043195451801997
Liferaft Ticket,Sausage,1,-0.08042739657005621,0.08042739657005621
Fintech Token,Boat Party Ticket,1,0.08025496907425128,0.08025496907425128
UQ Dollar,Sausage,4,0.07991670099828546,0.07991670099828546
Sausage Sizzle,UQ Dollar,1,0.07988950328208175,0.07988950328208175
Thrifted Jeans,Boat Party Ticket,3,-0.07840931829747459,0.07840931829747459
MenuDash,Sausage Sizzle,2,0.07766478095587057,0.07766478095587057
