leader,follower,granger_p_min
Bread,Sausage Sizzle,6.694622205919905e-57
Sausage,Sausage Sizzle,8.748957755664913e-38
Sausage,Boat Party Ticket,0.030808742020996403
Bread,Boat Party Ticket,0.03772605706417167
Sausage Sizzle,Thrifted Jeans,0.03820537419516479
Boat Party Ticket,Sausage Sizzle,0.048272310156719435
Bread,Thrifted Jeans,0.05230129976616126
Fintech Token,Sausage,0.08426484582261948
Sausage,Fintech Token,0.09058470379669832
Sausage Sizzle,UQ Dollar,0.10292107702318007
Thrifted Jeans,MenuDash,0.11050806032627754
Boat Party Ticket,Bread,0.118715482733597
Fintech Token,Liferaft Ticket,0.12016364868511169
UQ Dollar,Liferaft Ticket,0.12153198075720709
Liferaft Ticket,Sausage,0.12854163343851616
Fintech Token,Boat Party Ticket,0.12932838458776155
MenuDash,UQ Dollar,0.1351540005710682
Sausage Sizzle,Bread,0.15614458094241818
Fintech Token,Sausage Sizzle,0.16853798744103243
Sausage Sizzle,MenuDash,0.18540667794009158
Liferaft Ticket,Bread,0.20711739414161612
Bread,Liferaft Ticket,0.2098644175445484
MenuDash,Liferaft Ticket,0.21814245069488064
MenuDash,Sausage,0.23927420548836623
Sausage Sizzle,Liferaft Ticket,0.2541782677528894
UQ Dollar,Bread,0.2899613028657508
UQ Dollar,Sausage,0.29248504494029615
Bread,Fintech Token,0.2982089085418234
Sausage,Thrifted Jeans,0.30347642061260227
Liferaft Ticket,MenuDash,0.31874379176138623
Sausage Sizzle,Sausage,0.3299931472953219
MenuDash,Sausage Sizzle,0.3412563388208655
Sausage,UQ Dollar,0.34646502195467044
Sausage,MenuDash,0.3474885206961227
MenuDash,Fintech Token,0.3505578460665676
UQ Dollar,Fintech Token,0.35619040805027835
Thrifted Jeans,Bread,0.36046669670634773
Liferaft Ticket,Thrifted Jeans,0.3613298626808049
MenuDash,Thrifted Jeans,0.40045902391889565
Fintech Token,MenuDash,0.40850930960827647
Sausage Sizzle,Boat Party Ticket,0.412425790033886
UQ Dollar,Thrifted Jeans,0.4281629319919039
Thrifted Jeans,Sausage,0.42972131191349017
UQ Dollar,MenuDash,0.4567888973263886
Boat Party Ticket,Thrifted Jeans,0.457182543106732
UQ Dollar,Boat Party Ticket,0.45867493227732936
Thrifted Jeans,Boat Party Ticket,0.46104113131666824
Boat Party Ticket,Sausage,0.4693519506470656
Boat Party Ticket,Liferaft Ticket,0.481361675808446
MenuDash,Bread,0.511405224411287
Fintech Token,UQ Dollar,0.521832390478597
Fintech Token,Bread,0.5249781407537106
Bread,UQ Dollar,0.5325316081681021
Thrifted Jeans,UQ Dollar,0.5333549882256206
Thrifted Jeans,Sausage Sizzle,0.5426255845484569
Boat Party Ticket,MenuDash,0.5447858277330255
Boat Party Ticket,UQ Dollar,0.5697347023335197
Sausage,Bread,0.5928406312597407
Bread,MenuDash,0.6035504445519221
Thrifted Jeans,Fintech Token,0.6219213020375486
UQ Dollar,Sausage Sizzle,0.6296093176764754
Liferaft Ticket,Sausage Sizzle,0.6628674003150441
Bread,Sausage,0.6784515691874594
Liferaft Ticket,UQ Dollar,0.6789729056238603
Liferaft Ticket,Boat Party Ticket,0.7209571786623383
Thrifted Jeans,Liferaft Ticket,0.7326973570846198
Boat Party Ticket,Fintech Token,0.777178655902685
Sausage Sizzle,Fintech Token,0.822264190314838
Liferaft Ticket,Fintech Token,0.8636372914326534
Sausage,Liferaft Ticket,0.9004696870496668
MenuDash,Boat Party Ticket,0.9342456803942258
Fintech Token,Thrifted Jeans,0.9734976284398914
