instrument,label,IC,t,n,IC_h1,IC_h2,stable,verdict
UQ Dollar,peg reversion (99.94 - P),0.6937116544237281,18.325182229819312,364,0.7262198622809858,0.6797027228559862,True,USE
UQ Dollar,mean17 reversion,0.6974937318615617,18.10535646873929,348,0.7091377754962148,0.6838084469837223,True,USE
Sausage Sizzle,known ingredient move,0.9221141178977552,45.281344809815124,363,0.9340756243572387,0.9073075203727631,True,USE
Sausage Sizzle,known move + labour drift,0.9600787878575413,64.3016043037808,353,0.9655745247612529,0.9531117710402581,True,USE
Sausage Sizzle,momentum w=13,0.2629859899693327,5.099522318650092,352,0.3246414218347428,0.16390018851529495,True,USE
MenuDash,causal fair-value gap,0.2801095078577678,4.899994856582389,284,0.301240117206753,0.2651835463518853,True,USE
MenuDash,mean9 reversion,0.13454467569889514,2.5546712420969535,356,0.1605997462625435,0.11073230850432057,True,USE
Boat Party Ticket,reversion w=3,0.18139860762572813,3.4998604876469326,362,0.08530431958143692,0.2989122652946461,True,USE
Boat Party Ticket,reversion w=3 + trailing21 slope,0.2054500260292891,3.87657486812855,343,0.14107807774627784,0.29006387371661996,True,USE
Fintech Token,reversion w=2,0.13266642282982827,2.5431415128911348,363,0.059169954049220985,0.24330358387634524,True,USE
Fintech Token,reversion w=3,0.09263335463764256,1.765184112751441,362,-0.015480724210088932,0.2716856665885987,False,reject
Bread,momentum w=10,0.13624387865974125,2.5838839493183516,355,0.13170991272742175,0.1356066349991584,True,USE
Sausage,momentum w=11,0.17968859743750257,3.427036938409882,354,0.2621084136464652,0.07246007060523346,True,USE
Thrifted Jeans,momentum w=15,0.09710564569373768,1.8200839027602052,350,0.05727126751721763,0.12459346907793549,False,reject
Liferaft Ticket,contrarian to last move,-0.03900622299965818,-0.7416826814715175,363,-0.07005012531328325,-0.007273200784869209,False,reject
